,Panel,Static
116,CONOCOPHILLIPS,CONOCOPHILLIPS
117,CONSOLIDATED EDISON,"CONSOLIDATED EDISON, INC."
118,CONSTELLATION BRANDS,"CONSTELLATION BRANDS, INC."
119,CONSTELLATION ENERGY,CONSTELLATION ENERGY CORP
120,COOPER COMPANIES,COOPER COMPANIES INC
121,COPART,COPART INC
122,CORNING,CORNING INC
123,CORPAY,CORPAY INC
124,CORTEVA,CORTEVA INC
125,COSTAR GROUP,"COSTAR GROUP, INC"
126,COSTCO WHOLESALE,COSTCO WHOLESALE CORPORATION
127,COTERRA ENERGY,COTERRA ENERGY INC
128,CROWDSTRIKE,CROWDSTRIKE HOLDINGS INC
129,CROWN CASTLE,CROWN CASTLE INC
130,CSX,CSX CORP
131,CUMMINS,CUMMINS INC
132,CVS HEALTH,CVS HEALTH CORP
133,D R HORTON,DR HORTON INC
134,DANAHER,DANAHER CORP
135,DARDEN RESTAURANTS,"DARDEN RESTAURANTS, INC."
136,DAVITA,DAVITA INC
137,DAYFORCE,DAYFORCE INC
138,DECKERS OUTDOOR,DECKERS OUTDOOR CORPORATION
139,DEERE,DEERE & CO
140,DELL TECH,DELL TECHNOLOGIES INC
141,DELTA AIR LINES,DELTA AIR LINES INC
142,DEVON ENERGY,DEVON ENERGY CORPORATION
143,DEXCOM,DEXCOM INC
144,DIAMONDBACK,DIAMONDBACK ENERGY INC
145,DIGITAL REALTY TRUST,"DIGITAL REALTY TRUST, INC."
146,DISCOVER FINANCIAL,DISCOVER FINANCIAL SERVICES
147,DOLLAR GENERAL,DOLLAR GENERAL CORPORATION
148,DOLLAR TREE,"DOLLAR TREE, INCORPORATION"
149,DOMINION ENERGY,DOMINION ENERGY INC
150,DOMINO'S PIZZA,"DOMINO' S PIZZA, INC."
151,DOORDASH,DOORDASH INC
152,DOVER,DOVER CORPORATION
153,DOW INC,DOW INC
154,DTE ENERGY,DTE ENERGY COMPANY
155,DUKE ENERGY,DUKE ENERGY CORPORATION
156,DUPONT DE,DUPONT DE NEMOURS INC
157,EASTMAN CHEMICAL,EASTMAN CHEMICAL COMPANY
158,EATON,EATON CORP PLC
159,EBAY,EBAY INCORPORATED
160,ECOLAB,ECOLAB INC.
161,EDISON INTL.,EDISON INTERNATIONAL
162,EDWARDS LIFESCIENCES,EDWARDS LIFESCIENCES CORPORATION
163,ELECTRONIC ARTS,"ELECTRONIC ARTS, INC."
164,ELEVANCE HEALTH,ELEVANCE HEALTH INC
165,ELI LILLY,ELI LILLY AND COMPANY
166,EMERSON ELECTRIC,EMERSON ELECTRIC CO
167,ENPHASE ENERGY,ENPHASE ENERGY INC
168,ENTERGY,ENTERGY CORPORATION
169,EOG RESOURCES,EOG RESOURCES INC
170,EPAM SYSTEMS,EPAM SYSTEMS INC
171,EQT,EQT CORPORATION
172,EQUIFAX,"EQUIFAX, INCORPORATED"
173,EQUINIX,"EQUINIX, INC."
174,EQUITY RESIDENTIAL,EQUITY RESIDENTIAL
175,ERIE INDEMNITY,ERIE INDEMNITY COMPANY
176,ESSEX PROPERTY TRUST,ESSEX PROPERTY TRUST INCORPORATED
177,ESTEE LAUDER CO,ESTEE LAUDER COMPANIES INC
178,EVEREST GROUP,EVEREST GROUP LTD
179,EVERGY,EVERGY INC
180,EVERSOURCE ENERGY,EVERSOURCE ENERGY
181,EXELON,EXELON CORPORATION
182,EXPAND ENERGY,EXPAND ENERGY CORP
183,EXPEDIA GROUP,EXPEDIA GROUP INC
184,EXPEDITORS INTL WASH,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC."
185,EXTRA SPACE STORAGE,EXTRA SPACE STORAGE INCORPORATION
186,EXXON MOBIL,EXXON MOBIL CORP
187,F5,F5 INC
188,FACTSET RESEARCH SYS,FACTSET RESEARCH SYSTEMS INC.
189,FAIR ISAAC,FAIR ISAAC CORP.
190,FASTENAL,FASTENAL COMPANY
191,FEDERAL REALTY INVST,FEDERAL REALTY INVESTMENT TRUST
192,FEDEX,FEDEX CORPORATION
193,FIDELITY NATNL INF,"FIDELITY NATIONAL INFORMATION SERVICES, INC."
194,FIFTH THIRD BANCORP,FIFTH THIRD BANCORP
195,FIRST SOLAR,"FIRST SOLAR, INC."
196,FIRSTENERGY,FIRSTENERGY CORPORATION
197,FISERV,"FISERV, INC."
198,FORD MOTOR,FORD MOTOR COMPANY
199,FORTINET,FORTINET INCORPORATION
200,FORTIVE,FORTIVE CORP
201,FOX,FOX CORP
202,FRANKLIN RESOURCES,FRANKLIN RESOURCES INCORPORATED
203,FREEPORT-MCMORAN,FREEPORT-MCMORAN INC
204,GARMIN,GARMIN LTD.
205,GARTNER INC,GARTNER INCORPORATED
206,GE AEROSPACE,GENERAL ELECTRIC COMPANY
207,GE HEALTHCARE,GE HEALTHCARE TECHNOLOGIES INC
208,GE VERNOVA,GE VERNOVA INC
209,GEN DIGITAL,GEN DIGITAL INC
210,GENERAC HOLDINGS,GENERAC HOLDINGS INCORPORATION
211,GENERAL DYNAMICS,GENERAL DYNAMICS CORPORATION
212,GENERAL MILLS,"GENERAL MILLS, INC."
213,GENERAL MOTORS,GENERAL MOTORS COMPANY
214,GENUINE PARTS,GENUINE PARTS COMPANY
215,GILEAD SCIENCES,"GILEAD SCIENCES, INC."
216,GLOBAL PAYMENTS,GLOBAL PAYMENTS INC.
217,GLOBE LIFE,GLOBE LIFE INC
218,GODADDY,GODADDY INC
219,GOLDMAN SACHS GROUP,GOLDMAN SACHS GROUP INC
220,HALLIBURTON,HALLIBURTON COMPANY
221,HARTFORD INSURANCE,HARTFORD INSURANCE GROUP INC
222,HASBRO,HASBRO INC
223,HCA HEALTHCARE,HCA HEALTHCARE INC
224,HEALTHPEAK,HEALTHPEAK PROPERTIES INC
225,HENRY SCHEIN,"HENRY SCHEIN, INC."
226,HERSHEY,HERSHEY CO
227,HESS,HESS CORP
228,HEWLETT PACKARD,HEWLETT PACKARD ENTERPRISE CO
229,HILTON WORLDWIDE,HILTON WORLDWIDE HOLDINGS INC
230,HOLOGIC,HOLOGIC INC
231,HOME DEPOT,HOME DEPOT INC
232,HONEYWELL INTL.,HONEYWELL INTERNATIONAL INCORPORATED
233,HORMEL FOODS,HORMEL FOODS CORPORATION
234,HOST HOTELS & RESORTS,HOST HOTELS & RESORTS INC
235,HOWMET AEROSPACE,HOWMET AEROSPACE INC
236,HP,HP INC
237,HUBBELL,HUBBELL INCORPORATED
238,HUMANA,HUMANA INC
239,HUNTINGTON BANCSHARES,HUNTINGTON BANCSHARES INCORPORATED
240,HUNTINGTON INGALLS,HUNTINGTON INGALLS INDUSTRIES INC
241,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
242,IDEX,IDEX CORP
243,IDEXX,IDEXX LABORATORIES INCORPORATED
244,ILLINOIS TOOL WORKS,ILLINOIS TOOL WORKS INCORPORATED
245,INCYTE,INCYTE CORP
246,INGERSOLL RAND,INGERSOLL RAND INC
247,INSULET,INSULET CORP
248,INTEL,INTEL CORP
249,INTERCONTINENTAL,INTERCONTINENTAL EXCHANGE INC
250,INTERNATIONAL PAPER,INTERNATIONAL PAPER COMPANY
251,INTERPUBLIC GROUP,INTERPUBLIC GROUP OF COMPANIES INC
252,INTL FLAVORS&FRAGRAN,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED
253,INTUIT,INTUIT INC
254,INTUITIVE SURGICAL,INTUITIVE SURGICAL INC
255,INVESCO,INVESCO LIMITED
256,INVITATION HOME,INVITATION HOMES INC
257,IQVIA HOLDINGS,IQVIA HOLDINGS INC
258,IRON MOUNTAIN,IRON MOUNTAIN INCORPORATED
259,J B HUNT TRANSPORT,J B HUNT TRANSPORT SERVICES INC
260,J M SMUCKER,J M SMUCKER CO
261,JABIL,JABIL INC
262,JACK HENRY AND ASSOCIATES,"JACK HENRY & ASSOCIATES, INC."
263,JACOBS SOLUTIONS,JACOBS SOLUTIONS INC
264,JOHNSON & JOHNSON,JOHNSON & JOHNSON
265,JOHNSON CONTROLS INT,JOHNSON CONTROLS INTERNATIONAL PLC
266,JPMORGAN CHASE & CO,JPMORGAN CHASE & CO.
267,JUNIPER NETWORKS,JUNIPER NETWORKS INC
268,KELLANOVA,KELLANOVA
269,KENVUE,KENVUE INC
270,KEURIG DR PEPPER,KEURIG DR PEPPER INC
271,KEYCORP,KEYCORP
272,KEYSIGHT TECHNOLOGIES,KEYSIGHT TECHNOLOGIES INC
273,KIMBERLY-CLARK,KIMBERLY-CLARK CORP
274,KIMCO REALTY,KIMCO REALTY CORPORATION
275,KINDER MORGAN,KINDER MORGAN INCORPORATED
276,KKR & CO INC,KKR & CO INC
277,KLA,KLA CORP
278,KRAFT HEINZ,KRAFT HEINZ CO
279,KROGER,KROGER CO
280,L3HARRIS TECHNOLOGIES,L3HARRIS TECHNOLOGIES INC
281,LABCORP HOLDINGS,LABCORP HOLDINGS INC
282,LAM RESEARCH,LAM RESEARCH CORPORATION
283,LAMB WESTON HOLDINGS,LAMB WESTON HOLDINGS INC
284,LAS VEGAS SANDS,LAS VEGAS SANDS CORP.
285,LEIDOS HOLDINGS,LEIDOS HOLDINGS INC
286,LENNAR,LENNAR CORPORATION
287,LENNOX INTL.,LENNOX INTERNATIONAL INCORPORATED
288,LINDE,LINDE PLC
289,LIVE NATION ENTE,LIVE NATION ENTERTAINMENT INCORPORATION
290,LKQ,LKQ CORPORATION
291,LOCKHEED MARTIN,LOCKHEED MARTIN CORPORATION
292,LOEWS,LOEWS CORPORATION
293,LOWE'S COMPANIES,LOWE'S COMPANIES INC.
294,LULULEMON ATHLETIC,LULULEMON ATHLETICA INCORPORATED
295,LYONDELLBASELL,LYONDELLBASELL INDUSTRIES NV
296,M&T BANK,M&T BANK CORPORATION
297,MARATHON PETROLEUM,MARATHON PETROLEUM CORP
298,MARKETAXESS HLDGS,MARKETAXESS HOLDINGS INC.
299,MARRIOTT INT'L,"MARRIOTT INTERNATIONAL, INC."
300,MARSH & MCLENNAN,"MARSH & MCLENNAN COMPANIES, INC."
301,MARTIN MARIETTA MAT,"MARTIN MARIETTA MATERIALS, INC."
302,MASCO,MASCO CORPORATION
303,MASTERCARD,"MASTERCARD, INC."
304,MATCH GROUP,MATCH GROUP INC
305,MCCORMICK & CO INC,"MCCORMICK & COMPANY, INCORPORATED"
306,MCDONALDS,MCDONALD'S CORP
307,MCKESSON,MCKESSON CORPORATION
308,MEDTRONIC,MEDTRONIC PLC
309,MERCK & CO INC,"MERCK & CO. , INC."
310,META,META PLATFORMS INC
311,METLIFE,"METLIFE, INC."
312,METTLER TOLEDO INTL.,METTLER-TOLEDO INTERNATIONAL INC.
313,MGM RESORTS,MGM RESORTS INTERNATIONAL
314,MICROCHIP TECH.,MICROCHIP TECHNOLOGY INCORPORATION
315,MICRON TECHNOLOGY,"MICRON TECHNOLOGY, INC."
316,MICROSOFT,MICROSOFT CORPORATION
317,MID-AMERICA APARTMNT,MID-AMERICA APARTMENT COMMUNITIES
318,MODERNA,MODERNA INC
319,MOHAWK INDUSTRIES,"MOHAWK INDUSTRIES, INC."
320,MOLINA HEALTHCARE,"MOLINA HEALTHCARE, INC."
321,MOLSON COORS BEVERAGE,MOLSON COORS BEVERAGE CO
322,MONDELEZ,MONDELEZ INTERNATIONAL INCORPORATED
323,MONOLITHIC POWER SYS,"MONOLITHIC POWER SYSTEMS, INC."
324,MONSTER BEVERAGE,MONSTER BEVERAGE CORP
325,MOODY'S,MOODY'S CORPORATION
326,MORGAN STANLEY,MORGAN STANLEY
327,MOSAIC,MOSAIC CO
328,MOTOROLA SOLUTIONS,MOTOROLA SOLUTIONS INCORPORATION
329,MSCI,MSCI INC.
330,NASDAQ,NASDAQ INC
331,NETAPP,NETAPP INC
332,NETFLIX,NETFLIX INC
333,NEWMONT,NEWMONT CORPORATION
334,NEWS CORP,NEWS CORP
335,NEXTERA ENERGY,NEXTERA ENERGY INC
336,NIKE,NIKE INC.
337,NISOURCE,NISOURCE INC
338,NORDSON,NORDSON CORPORATION
339,NORFOLK SOUTHERN,NORFOLK SOUTHERN CORPORATION
340,NORTHERN TRUST,NORTHERN TRUST CORPORATION
341,NORTHROP GRUMMAN,NORTHROP GRUMMAN CORPORATION
342,NORWEGIAN CRUISE,NORWEGIAN CRUISE LINE HOLDINGS LTD
343,NRG ENERGY,"NRG ENERGY, INC."
344,NUCOR,NUCOR CORP
345,NVIDIA,NVIDIA CORPORATION
346,NVR,NVR INC.
347,NXP SEMICONDUCTORS,NXP SEMICONDUCTORS NV
348,O REILLY AUTOMOTIVE,"O'REILLY AUTOMOTIVE, INC."
349,OCCIDENTAL PETROLEUM,OCCIDENTAL PETROLEUM CORPORATION
350,OLD DOMINION FREIGHT,"OLD DOMINION FREIGHT LINE, INC."
351,OMNICOM GROUP,OMNICOM GROUP INCORPORATED
352,ON SEMICONDUCTOR,ON SEMICONDUCTOR CORPORATION
353,ONEOK,ONEOK INC
354,ORACLE,ORACLE CORP
355,OTIS WORLDWIDE,OTIS WORLDWIDE CORP
356,PACCAR,PACCAR INC
357,PACKAGING CORP,PACKAGING CORPORATION OF AMERICA
358,PALANTIR,PALANTIR TECHNOLOGIES INC
359,PALO ALTO,PALO ALTO NETWORKS INC
360,PARAMOUNT GLOBAL,PARAMOUNT GLOBAL
361,PARKER-HANNIFIN,PARKER-HANNIFIN CORP
362,PAYCHEX,PAYCHEX INC
363,PAYCOM SOFTWARE,PAYCOM SOFTWARE INC
364,PAYPAL HOLDINGS,PAYPAL HOLDINGS INC
365,PENTAIR,PENTAIR PLC
366,PEPSICO,PEPSICO INC
367,PFIZER,PFIZER INC
368,PG&E,PG&E CORP
369,PHILIP MORRIS INTL.,PHILIP MORRIS INTERNATIONAL INCORPORATION
370,PHILLIPS 66,PHILLIPS 66
371,PINNACLE WEST CAPTL,PINNACLE WEST CAPITAL CORPORATION
372,PNC FINL SVCS GROUP,PNC FINANCIAL SERVICES GROUP INCORPORATED
373,POOL,POOL CORP
374,PPG INDUSTRIES,"PPG INDUSTRIES, INC."
375,PPL,PPL CORP
376,PRINCIPAL FINL GROUP,"PRINCIPAL FINANCIAL GROUP, INCORPORATED"
377,PROCTER & GAMBLE,PROCTER & GAMBLE CO
378,PROGRESSIVE CORP,PROGRESSIVE CORP
379,PROLOGIS,PROLOGIS INC
