iter	MultiClass
0	1.078256848
1	1.061441335
2	1.047698573
3	1.03557712
4	1.025239058
5	1.015469711
6	1.007369422
7	1.000015703
8	0.993469825
9	0.9856567045
10	0.9799132447
11	0.9736263516
12	0.9685259481
13	0.9639893063
14	0.9592110144
15	0.9520582196
16	0.9459337617
17	0.940935015
18	0.9374759712
19	0.9345210465
20	0.930012994
21	0.9277058035
22	0.9253442317
23	0.9233748602
24	0.9211895034
25	0.9189151327
26	0.9169790199
27	0.9148407698
28	0.91112884
29	0.9096277311
30	0.908421316
31	0.9064580605
32	0.9047686707
33	0.9032455266
34	0.8999150011
35	0.8986159026
36	0.89613233
37	0.8949394735
38	0.8937404285
39	0.8923644606
40	0.8913507103
41	0.8901110606
42	0.8878563336
43	0.8868782242
44	0.8861604932
45	0.8850411726
46	0.8838960832
47	0.8828897104
48	0.882059613
49	0.8812003489
50	0.8797028976
51	0.8786649913
52	0.8776438308
53	0.8770125427
54	0.8750194274
55	0.874236637
56	0.8733402918
57	0.8725215105
58	0.8717789207
59	0.8712405637
60	0.8703829396
61	0.8696566996
62	0.8689033767
63	0.8681851529
64	0.867318997
65	0.8665366823
66	0.8657042617
67	0.865108781
68	0.8646612088
69	0.8639919716
70	0.8633425376
71	0.8626731784
72	0.8619272486
73	0.8612622518
74	0.8606345323
75	0.8599534167
76	0.8591011749
77	0.8585394681
78	0.8576328189
79	0.8568248569
80	0.8560256638
81	0.8556140748
82	0.8551070397
83	0.8543236847
84	0.8538154243
85	0.8529960577
86	0.8521954665
87	0.8517767615
88	0.8512264866
89	0.8505544939
90	0.8498185553
91	0.8488614852
92	0.8482858464
93	0.8476195047
94	0.8470208708
95	0.8464417068
96	0.8460195055
97	0.8453734089
98	0.8446261824
99	0.8441196455
100	0.8434846933
101	0.8429000582
102	0.8422819795
103	0.8417055693
104	0.8409376748
105	0.8405120974
106	0.8398225819
107	0.8393717687
108	0.8387410455
109	0.838054967
110	0.8374076934
111	0.8368826419
112	0.8361221662
113	0.835331157
114	0.834721973
115	0.8342337092
116	0.8336591029
117	0.833300797
118	0.8328012036
119	0.8322078648
120	0.8314722079
121	0.8309085137
122	0.8303722415
123	0.8298524317
124	0.829186874
125	0.8284555883
126	0.8278305823
127	0.8273450235
128	0.8267351273
129	0.8261634169
130	0.825467442
131	0.8246405581
132	0.8240538246
133	0.8233213799
134	0.8227618566
135	0.8222297597
136	0.8217121162
137	0.8212098796
138	0.8205763309
139	0.8199359034
140	0.8192787906
141	0.8187344747
142	0.8181530335
143	0.817666304
144	0.8172473254
145	0.8167492681
146	0.8162231153
147	0.8156057952
148	0.8151553376
149	0.8147285415
150	0.8142926417
151	0.8135706964
152	0.8130414529
153	0.8125142338
154	0.8119619985
155	0.8112853763
156	0.8107106189
157	0.8101240179
158	0.8094874016
159	0.8090706267
160	0.8086207096
161	0.8080645124
162	0.8073186703
163	0.8068211143
164	0.8063207246
165	0.8057502228
166	0.805337282
167	0.8046853272
168	0.804311495
169	0.8039034389
170	0.8032238004
171	0.8026665217
172	0.8020612409
173	0.8014692421
174	0.8010003967
175	0.8005474044
176	0.7999900572
177	0.7995104962
178	0.7990889422
179	0.7985048575
180	0.7980377594
181	0.797602156
182	0.7970282907
183	0.7965129332
184	0.7960023943
185	0.7956047227
186	0.7951340621
187	0.7947578447
188	0.7943803565
189	0.7938767112
190	0.7932560661
191	0.7928661607
192	0.792464715
193	0.791952804
194	0.7915881979
195	0.7910543157
196	0.7905190817
197	0.7900014022
198	0.7893825342
199	0.7890188794
200	0.7886716731
201	0.7881502771
202	0.7878211183
203	0.7874594178
204	0.7870293087
205	0.7865021933
206	0.7858387906
207	0.7853531413
208	0.7848757142
209	0.7844916854
210	0.7840502365
211	0.7836600821
212	0.7831585147
213	0.7828074434
214	0.7823056456
215	0.7819671339
216	0.7815082555
217	0.7810589578
218	0.7805967569
219	0.7801696665
220	0.7797614031
221	0.7794450047
222	0.7789418979
223	0.7785054955
224	0.7781227489
225	0.7777725443
226	0.7771034356
227	0.7767534686
228	0.7763288875
229	0.7760402434
230	0.7753248183
231	0.7749110821
232	0.7744911686
233	0.7740437221
234	0.7735869779
235	0.773155859
236	0.7726585385
237	0.772182652
238	0.7715477534
239	0.771230165
240	0.7708191423
241	0.770448906
242	0.7700935321
243	0.7696913614
244	0.7691683867
245	0.7686683413
246	0.7682407584
247	0.7677142207
248	0.7672634783
249	0.7668792739
250	0.7664168675
251	0.7659678247
252	0.765595393
253	0.7651204732
254	0.7647747128
255	0.7642565382
256	0.7638779308
257	0.7634854953
258	0.7631348482
259	0.7627006437
260	0.7622013569
261	0.7618340286
262	0.7613619424
263	0.7610201848
264	0.7605412833
265	0.7601825041
266	0.7590464067
267	0.7586396382
268	0.7581132456
269	0.7578121875
270	0.7574124627
271	0.7570863784
272	0.7567198193
273	0.7563441424
274	0.7560160375
275	0.7556723913
276	0.7550247282
277	0.7546187431
278	0.7541598446
279	0.7537175102
280	0.7533748145
281	0.7530814573
282	0.7527717173
283	0.7523978865
284	0.752116466
285	0.751721471
286	0.7512546678
287	0.7509402446
288	0.7507155665
289	0.7502486916
290	0.7497353251
291	0.7492324352
292	0.7488405608
293	0.748292832
294	0.7479893742
295	0.7476130683
296	0.7471702581
297	0.746845472
298	0.7464764461
299	0.7461108046
