Model,MSE,RMSE,MAE,R2
ElasticNet,129.3,11.4,8.6,0.12
CatBoost,129.7,11.4,8.6,0.11
AdaBoost,130.1,11.4,8.6,0.11
Random Forest,130.8,11.4,8.7,0.11
LightGBM,136.5,11.7,9.0,0.07
XGBoost,138.2,11.8,9.1,0.06
KNN,139.2,11.8,8.9,0.05
OLS,141.4,11.9,9.0,0.03
MLP,177.5,13.3,10.2,-0.21
