Model,MSE,RMSE,MAE,R2
XGBoost,191.9,13.9,10.1,0.15
AdaBoost,193.3,13.9,10.2,0.14
LightGBM,193.7,13.9,10.3,0.14
OLS,195.2,14.0,10.2,0.13
CatBoost,195.4,14.0,10.1,0.13
Random Forest,196.9,14.0,10.2,0.12
ElasticNet,197.9,14.1,10.2,0.12
MLP,205.6,14.3,10.9,0.08
KNN,210.2,14.5,10.6,0.06
