,0,1,2,accuracy,macro avg,weighted avg
precision,0.22853185595567868,0.851027397260274,0.22673031026252982,0.43884057971014495,0.43542985449282745,0.6421475914966238
recall,0.565068493150685,0.43330427201394944,0.3321678321678322,0.43884057971014495,0.44351353244415553,0.43884057971014495
f1-score,0.3254437869822485,0.5742345465049105,0.2695035460992908,0.43884057971014495,0.3897272931954832,0.48159688395614264
support,292.0,1147.0,286.0,0.43884057971014495,1725.0,1725.0
